Protein Code,Docking Score
CHEMBL4446167,-9.09
CHEMBL4547571,-8.803
CHEMBL5291180,-8.702
CHEMBL5289815,-8.677
CHEMBL4580116,-8.643
CHEMBL4584637,-8.633
CHEMBL5288117,-8.599
CHEMBL5267738,-8.501
CHEMBL4464383,-8.478
CHEMBL5275681,-8.47
CHEMBL5268562,-8.345
CHEMBL5268413,-8.324
CHEMBL4541348,-8.281
CHEMBL5283911,-8.257
CHEMBL5279532,-8.239
CHEMBL5290159,-8.128
CHEMBL4580624,-8.12
CHEMBL5281871,-8.099
CHEMBL4435700,-7.979
CHEMBL5273928,-7.974
CHEMBL5268916,-7.948
CHEMBL4583618,-7.907
CHEMBL5271522,-7.872
CHEMBL5287055,-7.774
CHEMBL5276443,-7.77
CHEMBL5270195,-7.65
CHEMBL5266578,-7.613
CHEMBL418052,-7.581
CHEMBL4439772,-7.572
CHEMBL5266230,-7.54
CHEMBL5283956,-7.485
CHEMBL4533538,-7.419
CHEMBL5277663,-7.411
CHEMBL4459537,-7.391
CHEMBL5288124,-7.327
CHEMBL4469887,-7.308
CHEMBL5274574,-7.287
CHEMBL4463176,-7.257
CHEMBL5271729,-7.234
CHEMBL4453557,-7.221
CHEMBL4448124,-7.186
CHEMBL4555967,-7.141
CHEMBL4564647,-7.099
CHEMBL4456048,-7.086
CHEMBL4585250,-7.058
CHEMBL5276347,-6.952
CHEMBL4513615,-6.901
CHEMBL2431997,-6.878
CHEMBL5276604,-6.874
CHEMBL4474908,-6.865
CHEMBL5270264,-6.852
CHEMBL4458857,-6.85
CHEMBL4517402,-6.849
CHEMBL5287635,-6.758
CHEMBL1435541,-6.753
CHEMBL4578960,-6.744
CHEMBL5268458,-6.719
CHEMBL5271824,-6.669
CHEMBL4459299,-6.626
CHEMBL4456259,-6.608
CHEMBL5269867,-6.536
CHEMBL4544475,-6.455
CHEMBL1324108,-6.375
CHEMBL5290255,-6.34
CHEMBL4460223,-6.229
CHEMBL5283966,-6.196
CHEMBL332444,-6.08
CHEMBL5281955,-5.806
CHEMBL532,-3.484
